mode,task,trial,turn,completion_tokens,prompt_tokens,total_tokens,reasoning_tokens,latency_s
Qwen3-4B-nothink,HumanEval_153,0,4,417,1993,2410,0,4.503486
Qwen3-4B-nothink,HumanEval_153,0,5,417,2430,2847,0,4.542651
Qwen3-4B-nothink,HumanEval_153,0,6,417,2867,3284,0,4.575943
Qwen3-4B-nothink,HumanEval_153,1,1,375,729,1104,0,4.239425
Qwen3-4B-nothink,HumanEval_153,2,1,375,729,1104,0,4.241894
Qwen3-4B-nothink,HumanEval_154,0,1,117,581,698,0,1.53302
Qwen3-4B-nothink,HumanEval_154,1,1,107,581,688,0,1.393553
Qwen3-4B-nothink,HumanEval_154,2,1,106,581,687,0,1.42469
Qwen3-4B-nothink,HumanEval_155,0,1,157,520,677,0,1.90917
Qwen3-4B-nothink,HumanEval_155,1,1,160,520,680,0,1.968542
Qwen3-4B-nothink,HumanEval_155,2,1,157,520,677,0,1.940617
Qwen3-4B-nothink,HumanEval_156,0,1,244,560,804,0,2.813172
Qwen3-4B-nothink,HumanEval_156,1,1,244,560,804,0,2.843386
Qwen3-4B-nothink,HumanEval_156,2,1,244,560,804,0,2.828683
Qwen3-4B-nothink,HumanEval_157,0,1,173,561,734,0,2.104045
Qwen3-4B-nothink,HumanEval_157,1,1,174,561,735,0,2.107141
Qwen3-4B-nothink,HumanEval_157,2,1,171,561,732,0,2.064723
Qwen3-4B-nothink,HumanEval_158,0,1,196,572,768,0,2.328296
Qwen3-4B-nothink,HumanEval_158,1,1,196,572,768,0,2.337764
Qwen3-4B-nothink,HumanEval_158,2,1,196,572,768,0,2.328921
Qwen3-4B-nothink,HumanEval_159,0,1,366,742,1108,0,4.141313
Qwen3-4B-nothink,HumanEval_159,0,2,39830,1128,40958,0,549.583055
Qwen3-4B-nothink,HumanEval_159,1,1,375,742,1117,0,4.221192
Qwen3-4B-nothink,HumanEval_159,1,2,517,1137,1654,0,5.469806
Qwen3-4B-nothink,HumanEval_159,1,3,740,1674,2414,0,7.94069
Qwen3-4B-nothink,HumanEval_159,1,4,503,2569,3072,0,5.510212
Qwen3-4B-nothink,HumanEval_159,1,5,593,3119,3712,0,6.51477
Qwen3-4B-nothink,HumanEval_159,1,6,593,3759,4352,0,6.593242
Qwen3-4B-nothink,HumanEval_159,2,1,375,742,1117,0,4.24368
Qwen3-4B-nothink,HumanEval_159,2,2,566,1137,1703,0,5.988014
Qwen3-4B-nothink,HumanEval_159,2,3,686,1723,2409,0,7.367543
Qwen3-4B-nothink,HumanEval_16,0,1,124,522,646,0,1.581823
Qwen3-4B-nothink,HumanEval_16,1,1,121,522,643,0,1.560516
Qwen3-4B-nothink,HumanEval_16,2,1,125,522,647,0,1.578195
Qwen3-4B-nothink,HumanEval_160,0,1,265,659,924,0,3.039523
Qwen3-4B-nothink,HumanEval_160,1,1,325,659,984,0,3.695502
Qwen3-4B-nothink,HumanEval_160,1,2,460,1004,1464,0,4.869521
Qwen3-4B-nothink,HumanEval_160,1,3,433,1613,2046,0,4.659145
Qwen3-4B-nothink,HumanEval_160,1,4,364,2211,2575,0,3.955936
Qwen3-4B-nothink,HumanEval_160,2,1,259,659,918,0,2.98038
Qwen3-4B-nothink,HumanEval_161,0,1,232,563,795,0,2.703828
Qwen3-4B-nothink,HumanEval_161,1,1,232,563,795,0,2.70362
Qwen3-4B-nothink,HumanEval_161,2,1,229,563,792,0,2.666717
Qwen3-4B-nothink,HumanEval_162,0,1,111,538,649,0,1.440018
Qwen3-4B-nothink,HumanEval_162,1,1,111,538,649,0,1.436436
Qwen3-4B-nothink,HumanEval_162,2,1,111,538,649,0,1.442794
Qwen3-4B-nothink,HumanEval_163,0,1,205,558,763,0,2.438742
Qwen3-4B-nothink,HumanEval_163,0,2,249,783,1032,0,2.627737
Qwen3-4B-nothink,HumanEval_163,0,3,241,1052,1293,0,2.567401
Qwen3-4B-nothink,HumanEval_163,0,4,395,1313,1708,0,4.209184
Qwen3-4B-nothink,HumanEval_163,0,5,395,1728,2123,0,4.253288
Qwen3-4B-nothink,HumanEval_163,0,6,394,2143,2537,0,4.266042
Qwen3-4B-nothink,HumanEval_163,1,1,206,558,764,0,2.421929
Qwen3-4B-nothink,HumanEval_163,1,2,325,784,1109,0,3.424884
Qwen3-4B-nothink,HumanEval_163,1,3,308,1285,1593,0,3.298236
Qwen3-4B-nothink,HumanEval_163,1,4,476,1649,2125,0,5.101539
Qwen3-4B-nothink,HumanEval_163,2,1,206,558,764,0,2.429124
Qwen3-4B-nothink,HumanEval_163,2,2,308,784,1092,0,3.245036
Qwen3-4B-nothink,HumanEval_163,2,3,257,1112,1369,0,2.743736
Qwen3-4B-nothink,HumanEval_163,2,4,257,1389,1646,0,2.75402
Qwen3-4B-nothink,HumanEval_163,2,5,288,1666,1954,0,3.097621
Qwen3-4B-nothink,HumanEval_163,2,6,288,1974,2262,0,3.117234
Qwen3-4B-nothink,HumanEval_17,0,1,264,624,888,0,3.04396
Qwen3-4B-nothink,HumanEval_17,1,1,266,624,890,0,3.086411
Qwen3-4B-nothink,HumanEval_17,2,1,292,624,916,0,3.366372
Qwen3-4B-nothink,HumanEval_18,0,1,148,540,688,0,1.808515
Qwen3-4B-nothink,HumanEval_18,1,1,148,540,688,0,1.893065
Qwen3-4B-nothink,HumanEval_18,2,1,148,540,688,0,1.826723
Qwen3-4B-nothink,HumanEval_19,0,1,261,557,818,0,3.01998
Qwen3-4B-nothink,HumanEval_19,1,1,299,557,856,0,3.393152
Qwen3-4B-nothink,HumanEval_19,1,2,444,876,1320,0,4.690161
Qwen3-4B-nothink,HumanEval_19,1,3,335,1446,1781,0,3.599629
Qwen3-4B-nothink,HumanEval_19,1,4,327,1801,2128,0,3.5226
Qwen3-4B-nothink,HumanEval_19,1,5,369,2148,2517,0,3.993834
Qwen3-4B-nothink,HumanEval_19,1,6,327,2676,3003,0,3.59161
Qwen3-4B-nothink,HumanEval_19,2,1,291,557,848,0,3.304171
Qwen3-4B-nothink,HumanEval_19,2,2,365,868,1233,0,3.850585
Qwen3-4B-nothink,HumanEval_2,0,1,91,537,628,0,1.291129
Qwen3-4B-nothink,HumanEval_2,1,1,91,537,628,0,1.214919
Qwen3-4B-nothink,HumanEval_2,2,1,91,537,628,0,1.241037
Qwen3-4B-nothink,HumanEval_20,0,1,299,618,917,0,3.408947
Qwen3-4B-nothink,HumanEval_20,1,1,299,618,917,0,3.481018
Qwen3-4B-nothink,HumanEval_20,2,1,319,618,937,0,3.616586
Qwen3-4B-nothink,HumanEval_21,0,1,159,577,736,0,1.942263
Qwen3-4B-nothink,HumanEval_21,1,1,159,577,736,0,1.941472
Qwen3-4B-nothink,HumanEval_21,2,1,159,577,736,0,1.949639
Qwen3-4B-nothink,HumanEval_22,0,1,105,544,649,0,1.378273
Qwen3-4B-nothink,HumanEval_22,1,1,105,544,649,0,1.376493
Qwen3-4B-nothink,HumanEval_22,2,1,105,544,649,0,1.375988
Qwen3-4B-nothink,HumanEval_23,0,1,47,495,542,0,0.77767
Qwen3-4B-nothink,HumanEval_23,1,1,47,495,542,0,0.763146
Qwen3-4B-nothink,HumanEval_23,2,1,47,495,542,0,0.795564
Qwen3-4B-nothink,HumanEval_24,0,1,127,505,632,0,1.613521
Qwen3-4B-nothink,HumanEval_24,1,1,131,505,636,0,1.664544
Qwen3-4B-nothink,HumanEval_24,2,1,126,505,631,0,1.612261
Qwen3-4B-nothink,HumanEval_25,0,1,252,580,832,0,2.916482
Qwen3-4B-nothink,HumanEval_25,1,1,252,580,832,0,2.921467
Qwen3-4B-nothink,HumanEval_25,2,1,253,580,833,0,2.921619
Qwen3-4B-nothink,HumanEval_26,0,1,119,536,655,0,1.537214
Qwen3-4B-nothink,HumanEval_26,0,2,197,675,872,0,2.075277
Qwen3-4B-nothink,HumanEval_26,0,3,204,892,1096,0,2.167725
Qwen3-4B-nothink,HumanEval_26,0,4,204,1116,1320,0,2.174819
Qwen3-4B-nothink,HumanEval_26,0,5,204,1340,1544,0,2.184722
Qwen3-4B-nothink,HumanEval_26,0,6,204,1564,1768,0,2.195342
Qwen3-4B-nothink,HumanEval_26,1,1,119,536,655,0,1.566505
Qwen3-4B-nothink,HumanEval_26,1,2,202,675,877,0,2.126348
Qwen3-4B-nothink,HumanEval_26,1,3,176,1048,1224,0,1.884207
Qwen3-4B-nothink,HumanEval_26,1,4,224,1256,1480,0,2.390953
Qwen3-4B-nothink,HumanEval_26,1,5,421,1512,1933,0,4.494848
Qwen3-4B-nothink,HumanEval_26,1,6,240,1965,2205,0,2.609585
Qwen3-4B-nothink,HumanEval_26,2,1,119,536,655,0,1.528199
Qwen3-4B-nothink,HumanEval_26,2,2,162,675,837,0,1.705671
Qwen3-4B-nothink,HumanEval_26,2,3,194,857,1051,0,2.057258
Qwen3-4B-nothink,HumanEval_26,2,4,211,1071,1282,0,2.248855
Qwen3-4B-nothink,HumanEval_26,2,5,211,1302,1513,0,2.256081
Qwen3-4B-nothink,HumanEval_26,2,6,194,1533,1727,0,2.088285
Qwen3-4B-nothink,HumanEval_27,0,1,53,500,553,0,0.837519
Qwen3-4B-nothink,HumanEval_27,1,1,53,500,553,0,0.837895
Qwen3-4B-nothink,HumanEval_27,2,1,53,500,553,0,0.82774
Qwen3-4B-nothink,HumanEval_28,0,1,62,509,571,0,0.923718
Qwen3-4B-nothink,HumanEval_28,1,1,62,509,571,0,0.936303
Qwen3-4B-nothink,HumanEval_28,2,1,62,509,571,0,0.911776
Qwen3-4B-nothink,HumanEval_29,0,1,99,539,638,0,1.311908
Qwen3-4B-nothink,HumanEval_29,1,1,99,539,638,0,1.349764
Qwen3-4B-nothink,HumanEval_29,2,1,99,539,638,0,1.330921
Qwen3-4B-nothink,HumanEval_3,0,1,112,571,683,0,1.497394
Qwen3-4B-nothink,HumanEval_3,1,1,112,571,683,0,1.43775
Qwen3-4B-nothink,HumanEval_3,2,1,112,571,683,0,1.445631
Qwen3-4B-nothink,HumanEval_30,0,1,131,570,701,0,1.643614
Qwen3-4B-nothink,HumanEval_30,1,1,131,570,701,0,1.649203
Qwen3-4B-nothink,HumanEval_30,2,1,131,570,701,0,1.630563
Qwen3-4B-nothink,HumanEval_31,0,1,194,558,752,0,2.301867
Qwen3-4B-nothink,HumanEval_31,1,1,180,558,738,0,2.152028
Qwen3-4B-nothink,HumanEval_31,2,1,195,558,753,0,2.336641
Qwen3-4B-nothink,HumanEval_32,0,1,612,713,1325,0,6.709157
Qwen3-4B-nothink,HumanEval_32,0,2,580,1769,2349,0,6.261701
Qwen3-4B-nothink,HumanEval_32,0,3,702,2369,3071,0,7.614872
Qwen3-4B-nothink,HumanEval_32,0,4,443,3091,3534,0,4.888082
Qwen3-4B-nothink,HumanEval_32,0,5,563,3554,4117,0,6.225855
Qwen3-4B-nothink,HumanEval_32,0,6,698,4137,4835,0,7.803734
Qwen3-4B-nothink,HumanEval_32,1,1,544,713,1257,0,5.983176
Qwen3-4B-nothink,HumanEval_32,1,2,636,1277,1913,0,6.769015
Qwen3-4B-nothink,HumanEval_32,1,3,605,1933,2538,0,6.530352
Qwen3-4B-nothink,HumanEval_32,1,4,650,2558,3208,0,7.081293
Qwen3-4B-nothink,HumanEval_32,1,5,650,3228,3878,0,7.157289
Qwen3-4B-nothink,HumanEval_32,1,6,650,3898,4548,0,7.235664
Qwen3-4B-nothink,HumanEval_32,2,1,646,713,1359,0,7.055872
Qwen3-4B-nothink,HumanEval_32,2,2,689,1379,2068,0,7.347671
Qwen3-4B-nothink,HumanEval_32,2,3,644,2088,2732,0,6.958555
Qwen3-4B-nothink,HumanEval_32,2,4,672,2752,3424,0,7.346317
Qwen3-4B-nothink,HumanEval_32,2,5,609,3444,4053,0,6.730253
Qwen3-4B-nothink,HumanEval_32,2,6,670,4073,4743,0,7.476809
Qwen3-4B-nothink,HumanEval_33,0,1,272,602,874,0,3.137518
Qwen3-4B-nothink,HumanEval_33,1,1,266,602,868,0,3.072026
Qwen3-4B-nothink,HumanEval_33,2,1,266,602,868,0,3.080292
Qwen3-4B-nothink,HumanEval_34,0,1,82,529,611,0,1.179262
Qwen3-4B-nothink,HumanEval_34,1,1,82,529,611,0,1.163096
Qwen3-4B-nothink,HumanEval_34,2,1,82,529,611,0,1.149277
Qwen3-4B-nothink,HumanEval_35,0,1,91,539,630,0,1.62209
Qwen3-4B-nothink,HumanEval_35,1,1,91,539,630,0,1.233148
Qwen3-4B-nothink,HumanEval_35,2,1,91,539,630,0,1.236638
Qwen3-4B-nothink,HumanEval_36,0,1,151,536,687,0,1.862753
Qwen3-4B-nothink,HumanEval_36,0,2,324,707,1031,0,3.409357
Qwen3-4B-nothink,HumanEval_36,0,3,618,1051,1669,0,6.541812
Qwen3-4B-nothink,HumanEval_36,0,4,606,1689,2295,0,6.50744
Qwen3-4B-nothink,HumanEval_36,0,5,606,2315,2921,0,6.572792
Qwen3-4B-nothink,HumanEval_36,0,6,606,2941,3547,0,6.644228
Qwen3-4B-nothink,HumanEval_36,1,1,149,536,685,0,1.825399
Qwen3-4B-nothink,HumanEval_36,2,1,151,536,687,0,1.873719
Qwen3-4B-nothink,HumanEval_36,2,2,265,707,972,0,2.781797
Qwen3-4B-nothink,HumanEval_36,2,3,201,992,1193,0,2.146574
Qwen3-4B-nothink,HumanEval_36,2,4,226,1213,1439,0,2.4137
Qwen3-4B-nothink,HumanEval_36,2,5,212,1459,1671,0,2.27757
Qwen3-4B-nothink,HumanEval_36,2,6,212,1691,1903,0,2.283307
Qwen3-4B-nothink,HumanEval_37,0,1,231,575,806,0,2.701137
Qwen3-4B-nothink,HumanEval_37,1,1,238,575,813,0,2.767369
Qwen3-4B-nothink,HumanEval_37,2,1,242,575,817,0,2.837883
Qwen3-4B-nothink,HumanEval_38,0,1,136,610,746,0,1.705104
Qwen3-4B-nothink,HumanEval_38,0,2,328,1089,1417,0,3.496475
Qwen3-4B-nothink,HumanEval_38,1,1,139,610,749,0,1.723434
Qwen3-4B-nothink,HumanEval_38,1,2,331,1080,1411,0,3.518163
Qwen3-4B-nothink,HumanEval_38,2,1,136,610,746,0,1.705581
Qwen3-4B-nothink,HumanEval_38,2,2,352,1092,1444,0,3.735862
Qwen3-4B-nothink,HumanEval_39,0,1,223,551,774,0,2.60753
Qwen3-4B-nothink,HumanEval_39,1,1,223,551,774,0,2.603287
Qwen3-4B-nothink,HumanEval_39,2,1,223,551,774,0,2.615924
Qwen3-4B-nothink,HumanEval_4,0,1,186,569,755,0,2.26897
Qwen3-4B-nothink,HumanEval_4,1,1,172,569,741,0,2.065003
Qwen3-4B-nothink,HumanEval_4,2,1,188,569,757,0,2.252486
Qwen3-4B-nothink,HumanEval_40,0,1,316,611,927,0,3.577148
Qwen3-4B-nothink,HumanEval_40,1,1,318,611,929,0,3.594954
Qwen3-4B-nothink,HumanEval_40,2,1,321,611,932,0,3.634075
Qwen3-4B-nothink,HumanEval_41,0,1,155,603,758,0,1.956099
Qwen3-4B-nothink,HumanEval_41,1,1,155,603,758,0,1.92794
Qwen3-4B-nothink,HumanEval_41,2,1,155,603,758,0,1.912396
Qwen3-4B-nothink,HumanEval_42,0,1,124,565,689,0,1.56808
Qwen3-4B-nothink,HumanEval_42,1,1,124,565,689,0,1.568682
Qwen3-4B-nothink,HumanEval_42,2,1,141,565,706,0,1.764215
Qwen3-4B-nothink,HumanEval_43,0,1,187,609,796,0,2.267223
Qwen3-4B-nothink,HumanEval_43,1,1,187,609,796,0,2.231298
Qwen3-4B-nothink,HumanEval_43,2,1,187,609,796,0,2.239001
Qwen3-4B-nothink,HumanEval_44,0,1,145,549,694,0,1.793564
Qwen3-4B-nothink,HumanEval_44,1,1,145,549,694,0,1.792402
Qwen3-4B-nothink,HumanEval_44,2,1,145,549,694,0,1.807017
Qwen3-4B-nothink,HumanEval_45,0,1,56,498,554,0,0.861575
Qwen3-4B-nothink,HumanEval_45,1,1,56,498,554,0,0.866625
Qwen3-4B-nothink,HumanEval_45,2,1,56,498,554,0,0.871808
Qwen3-4B-nothink,HumanEval_46,0,1,307,624,931,0,3.481712
Qwen3-4B-nothink,HumanEval_46,1,1,307,624,931,0,3.507477
Qwen3-4B-nothink,HumanEval_46,2,1,306,624,930,0,3.483928
Qwen3-4B-nothink,HumanEval_47,0,1,134,533,667,0,1.688799
Qwen3-4B-nothink,HumanEval_47,1,1,134,533,667,0,1.683322
Qwen3-4B-nothink,HumanEval_47,2,1,134,533,667,0,1.690672
Qwen3-4B-nothink,HumanEval_48,0,1,81,523,604,0,1.124864
Qwen3-4B-nothink,HumanEval_48,1,1,81,523,604,0,1.123936
Qwen3-4B-nothink,HumanEval_48,2,1,81,523,604,0,1.133533
Qwen3-4B-nothink,HumanEval_49,0,1,162,568,730,0,2.014602
Qwen3-4B-nothink,HumanEval_49,1,1,162,568,730,0,1.969483
Qwen3-4B-nothink,HumanEval_49,2,1,168,568,736,0,2.062828
Qwen3-4B-nothink,HumanEval_5,0,1,130,544,674,0,1.66915
Qwen3-4B-nothink,HumanEval_5,1,1,130,544,674,0,1.619958
Qwen3-4B-nothink,HumanEval_5,2,1,130,544,674,0,1.642028
Qwen3-4B-nothink,HumanEval_50,0,1,64,543,607,0,0.955461
Qwen3-4B-nothink,HumanEval_50,0,2,229,938,1167,0,2.442626
Qwen3-4B-nothink,HumanEval_50,1,1,64,543,607,0,0.946014
Qwen3-4B-nothink,HumanEval_50,1,2,194,932,1126,0,2.064923
Qwen3-4B-nothink,HumanEval_50,2,1,64,543,607,0,0.942188
Qwen3-4B-nothink,HumanEval_50,2,2,226,938,1164,0,2.406075
Qwen3-4B-nothink,HumanEval_51,0,1,146,574,720,0,1.810792
Qwen3-4B-nothink,HumanEval_51,1,1,146,574,720,0,1.819469
Qwen3-4B-nothink,HumanEval_51,2,1,146,574,720,0,1.834851
Qwen3-4B-nothink,HumanEval_52,0,1,97,536,633,0,1.315689
Qwen3-4B-nothink,HumanEval_52,1,1,97,536,633,0,1.298453
Qwen3-4B-nothink,HumanEval_52,2,1,97,536,633,0,1.314258
Qwen3-4B-nothink,HumanEval_53,0,1,74,506,580,0,1.050129
Qwen3-4B-nothink,HumanEval_53,1,1,59,506,565,0,0.891484
Qwen3-4B-nothink,HumanEval_53,2,1,74,506,580,0,1.06254
Qwen3-4B-nothink,HumanEval_54,0,1,153,592,745,0,1.901298
Qwen3-4B-nothink,HumanEval_54,0,2,227,765,992,0,2.396139
Qwen3-4B-nothink,HumanEval_54,1,1,153,592,745,0,1.875954
Qwen3-4B-nothink,HumanEval_54,1,2,270,765,1035,0,2.835699
Qwen3-4B-nothink,HumanEval_54,1,3,253,1055,1308,0,2.692492
Qwen3-4B-nothink,HumanEval_54,1,4,256,1328,1584,0,2.735075
Qwen3-4B-nothink,HumanEval_54,1,5,256,1604,1860,0,2.751558
Qwen3-4B-nothink,HumanEval_54,1,6,256,1880,2136,0,2.766448
Qwen3-4B-nothink,HumanEval_54,2,1,153,592,745,0,1.892637
Qwen3-4B-nothink,HumanEval_54,2,2,322,765,1087,0,3.386997
Qwen3-4B-nothink,HumanEval_54,2,3,301,1107,1408,0,3.200777
Qwen3-4B-nothink,HumanEval_55,0,1,94,507,601,0,1.284209
Qwen3-4B-nothink,HumanEval_55,1,1,94,507,601,0,1.239275
Qwen3-4B-nothink,HumanEval_55,2,1,94,507,601,0,1.272488
Qwen3-4B-nothink,HumanEval_56,0,1,145,544,689,0,1.799116
Qwen3-4B-nothink,HumanEval_56,1,1,145,544,689,0,1.794046
Qwen3-4B-nothink,HumanEval_56,2,1,148,544,692,0,1.828715
Qwen3-4B-nothink,HumanEval_57,0,1,140,543,683,0,1.78415
Qwen3-4B-nothink,HumanEval_57,1,1,140,543,683,0,1.754983
Qwen3-4B-nothink,HumanEval_57,2,1,140,543,683,0,1.764084
Qwen3-4B-nothink,HumanEval_58,0,1,187,575,762,0,2.246756
Qwen3-4B-nothink,HumanEval_58,1,1,187,575,762,0,2.23754
Qwen3-4B-nothink,HumanEval_58,2,1,187,575,762,0,2.249294
Qwen3-4B-nothink,HumanEval_59,0,1,184,521,705,0,2.194982
Qwen3-4B-nothink,HumanEval_59,1,1,166,521,687,0,1.994178
Qwen3-4B-nothink,HumanEval_59,2,1,200,521,721,0,2.353777
Qwen3-4B-nothink,HumanEval_6,0,1,183,564,747,0,2.264146
Qwen3-4B-nothink,HumanEval_6,1,1,182,564,746,0,2.184655
Qwen3-4B-nothink,HumanEval_6,2,1,183,564,747,0,2.181722
Qwen3-4B-nothink,HumanEval_60,0,1,147,556,703,0,1.81591
Qwen3-4B-nothink,HumanEval_60,1,1,120,556,676,0,1.521851
Qwen3-4B-nothink,HumanEval_60,2,1,120,556,676,0,1.535122
Qwen3-4B-nothink,HumanEval_61,0,1,145,541,686,0,1.773885
Qwen3-4B-nothink,HumanEval_61,1,1,145,541,686,0,1.785907
Qwen3-4B-nothink,HumanEval_61,2,1,145,541,686,0,1.805035
Qwen3-4B-nothink,HumanEval_62,0,1,127,562,689,0,1.638538
Qwen3-4B-nothink,HumanEval_62,1,1,127,562,689,0,1.599525
Qwen3-4B-nothink,HumanEval_62,2,1,127,562,689,0,1.607569
Qwen3-4B-nothink,HumanEval_63,0,1,235,602,837,0,2.735366
Qwen3-4B-nothink,HumanEval_63,1,1,233,602,835,0,2.725553
Qwen3-4B-nothink,HumanEval_63,2,1,233,602,835,0,2.723269
Qwen3-4B-nothink,HumanEval_64,0,1,183,578,761,0,2.172072
Qwen3-4B-nothink,HumanEval_64,1,1,183,578,761,0,2.161326
Qwen3-4B-nothink,HumanEval_64,2,1,166,578,744,0,2.02575
Qwen3-4B-nothink,HumanEval_64,2,2,317,764,1081,0,3.34
Qwen3-4B-nothink,HumanEval_65,0,1,185,538,723,0,2.238119
Qwen3-4B-nothink,HumanEval_65,1,1,183,538,721,0,2.197846
Qwen3-4B-nothink,HumanEval_65,2,1,184,538,722,0,2.21515
Qwen3-4B-nothink,HumanEval_66,0,1,134,572,706,0,1.692091
Qwen3-4B-nothink,HumanEval_66,1,1,134,572,706,0,1.673605
Qwen3-4B-nothink,HumanEval_66,2,1,134,572,706,0,1.692781
Qwen3-4B-nothink,HumanEval_67,0,1,293,678,971,0,3.359833
Qwen3-4B-nothink,HumanEval_67,1,1,293,678,971,0,3.380408
Qwen3-4B-nothink,HumanEval_67,2,1,294,678,972,0,3.351811
Qwen3-4B-nothink,HumanEval_68,0,1,409,767,1176,0,4.575025
Qwen3-4B-nothink,HumanEval_68,1,1,409,767,1176,0,4.572935
Qwen3-4B-nothink,HumanEval_68,2,1,409,767,1176,0,4.574513
Qwen3-4B-nothink,HumanEval_69,0,1,244,617,861,0,2.819797
Qwen3-4B-nothink,HumanEval_69,1,1,250,617,867,0,2.898382
Qwen3-4B-nothink,HumanEval_69,2,1,250,617,867,0,2.915355
Qwen3-4B-nothink,HumanEval_7,0,1,105,545,650,0,1.425412
Qwen3-4B-nothink,HumanEval_7,1,1,105,545,650,0,1.445223
Qwen3-4B-nothink,HumanEval_7,2,1,105,545,650,0,1.376224
Qwen3-4B-nothink,HumanEval_70,0,1,208,576,784,0,2.491582
Qwen3-4B-nothink,HumanEval_70,1,1,223,576,799,0,2.599832
Qwen3-4B-nothink,HumanEval_70,2,1,208,576,784,0,2.440014
Qwen3-4B-nothink,HumanEval_71,0,1,259,575,834,0,2.981323
Qwen3-4B-nothink,HumanEval_71,1,1,224,575,799,0,2.606259
Qwen3-4B-nothink,HumanEval_71,2,1,259,575,834,0,3.033676
Qwen3-4B-nothink,HumanEval_72,0,1,301,682,983,0,3.49619
Qwen3-4B-nothink,HumanEval_72,1,1,301,682,983,0,3.4173
Qwen3-4B-nothink,HumanEval_72,2,1,301,682,983,0,3.437215
Qwen3-4B-nothink,HumanEval_73,0,1,246,609,855,0,2.847664
Qwen3-4B-nothink,HumanEval_73,1,1,215,609,824,0,2.522879
Qwen3-4B-nothink,HumanEval_73,2,1,266,609,875,0,3.041715
Qwen3-4B-nothink,HumanEval_74,0,1,271,645,916,0,3.104001
Qwen3-4B-nothink,HumanEval_74,1,1,274,645,919,0,3.144304
Qwen3-4B-nothink,HumanEval_74,2,1,274,645,919,0,3.12729
Qwen3-4B-nothink,HumanEval_75,0,1,242,535,777,0,2.840142
Qwen3-4B-nothink,HumanEval_75,1,1,236,535,771,0,2.747634
Qwen3-4B-nothink,HumanEval_75,2,1,295,535,830,0,3.352876
Qwen3-4B-nothink,HumanEval_75,2,2,349,850,1199,0,3.691559
Qwen3-4B-nothink,HumanEval_75,2,3,350,1219,1569,0,3.729292
Qwen3-4B-nothink,HumanEval_75,2,4,350,1589,1939,0,3.752309
Qwen3-4B-nothink,HumanEval_75,2,5,356,1959,2315,0,3.849345
Qwen3-4B-nothink,HumanEval_75,2,6,356,2335,2691,0,3.866704
Qwen3-4B-nothink,HumanEval_76,0,1,103,594,697,0,1.371467
Qwen3-4B-nothink,HumanEval_76,1,1,99,594,693,0,1.335396
Qwen3-4B-nothink,HumanEval_76,2,1,103,594,697,0,1.375179
Qwen3-4B-nothink,HumanEval_77,0,1,169,565,734,0,2.051427
Qwen3-4B-nothink,HumanEval_77,0,2,284,1161,1445,0,3.042011
Qwen3-4B-nothink,HumanEval_77,1,1,190,565,755,0,2.264777
Qwen3-4B-nothink,HumanEval_77,1,2,259,1183,1442,0,2.769736
Qwen3-4B-nothink,HumanEval_77,2,1,190,565,755,0,2.267536
Qwen3-4B-nothink,HumanEval_77,2,2,248,775,1023,0,2.615546
Qwen3-4B-nothink,HumanEval_78,0,1,353,767,1120,0,3.996065
Qwen3-4B-nothink,HumanEval_78,1,1,378,767,1145,0,4.243801
Qwen3-4B-nothink,HumanEval_78,2,1,353,767,1120,0,3.97131
Qwen3-4B-nothink,HumanEval_79,0,1,198,599,797,0,2.35315
Qwen3-4B-nothink,HumanEval_79,1,1,213,599,812,0,2.487238
Qwen3-4B-nothink,HumanEval_79,2,1,213,599,812,0,2.505215
Qwen3-4B-nothink,HumanEval_8,0,1,146,564,710,0,1.854084
Qwen3-4B-nothink,HumanEval_8,1,1,146,564,710,0,1.787353
Qwen3-4B-nothink,HumanEval_8,2,1,146,564,710,0,1.792878
Qwen3-4B-nothink,HumanEval_80,0,1,112,573,685,0,1.456478
Qwen3-4B-nothink,HumanEval_80,1,1,186,573,759,0,2.216278
Qwen3-4B-nothink,HumanEval_80,2,1,186,573,759,0,2.226195
Qwen3-4B-nothink,HumanEval_81,0,1,523,722,1245,0,5.823063
Qwen3-4B-nothink,HumanEval_81,0,2,618,1265,1883,0,6.580742
Qwen3-4B-nothink,HumanEval_81,1,1,287,722,1009,0,3.272679
Qwen3-4B-nothink,HumanEval_81,1,2,510,1029,1539,0,5.391333
Qwen3-4B-nothink,HumanEval_81,1,3,415,1559,1974,0,4.45691
Qwen3-4B-nothink,HumanEval_81,2,1,286,722,1008,0,3.297394
Qwen3-4B-nothink,HumanEval_81,2,2,331,1028,1359,0,3.509731
Qwen3-4B-nothink,HumanEval_81,2,3,485,1379,1864,0,5.171493
Qwen3-4B-nothink,HumanEval_81,2,4,333,1884,2217,0,3.604052
Qwen3-4B-nothink,HumanEval_81,2,5,331,2237,2568,0,3.592175
Qwen3-4B-nothink,HumanEval_81,2,6,331,2588,2919,0,3.617994
Qwen3-4B-nothink,HumanEval_82,0,1,186,533,719,0,2.203854
Qwen3-4B-nothink,HumanEval_82,1,1,186,533,719,0,2.228883
Qwen3-4B-nothink,HumanEval_82,2,1,186,533,719,0,2.226482
Qwen3-4B-nothink,HumanEval_83,0,1,290,496,786,0,3.306149
Qwen3-4B-nothink,HumanEval_83,1,1,260,496,756,0,2.965841
Qwen3-4B-nothink,HumanEval_83,1,2,362,776,1138,0,3.816018
